Location,rent_per_sqft
"DHA Phase 3 - Block XX, DHA Phase 3",155.55555555555554
"DHA Phase 2 - Block V, DHA Phase 2",200.0
"DHA 9 Town - Block D, DHA 9 Town",102.22222222222223
"DHA Phase 6, DHA Defence",296.2962962962963
"Bahria Town - Sector E, Bahria Town",96.29629629629629
"DHA Phase 5 - Block G, DHA Phase 5",288.8888888888889
"Bahria Town - Sector E, Bahria Town",200.0
"DHA Phase 6, DHA Defence",257.77777777777777
"DHA Defence Phase 3, DHA Defence",74.07407407407408
"Park View City, Lahore",80.0
"DHA 9 Town, DHA Defence",100.74074074074075
"DHA 9 Town, DHA Defence",106.66666666666667
"Model Town, Lahore",444.44444444444446
"DHA 9 Town, DHA Defence",125.92592592592592
"Model Town, Lahore",259.25925925925924
"Cavalry Ground, Lahore",251.85185185185185
"DHA Phase 5 - Block C, DHA Phase 5",257.77777777777777
"DHA 9 Town, DHA Defence",103.70370370370371
"DHA Phase 6, DHA Defence",400.0
"DHA Phase 5, DHA Defence",148.14814814814815
"Sabzazar Scheme, Lahore",82.22222222222223
"Emaar Crescent Bay, DHA Phase 8",303.70370370370364
"Emaar Crescent Bay, DHA Phase 8",444.44444444444446
"DHA Phase 2, DHA Defence",327.77777777777777
"DHA Phase 7, DHA Defence",259.25925925925924
"DHA Phase 7, DHA Defence",257.77777777777777
"DHA Phase 6, DHA Defence",355.55555555555554
"DHA Phase 8, DHA Defence",311.1111111111111
"DHA Phase 6, DHA Defence",244.44444444444446
"DHA Phase 6, DHA Defence",315.55555555555554
"DHA Phase 7, DHA Defence",117.46031746031746
"Emaar Crescent Bay, DHA Phase 8",348.14814814814815
"Emaar Crescent Bay, DHA Phase 8",311.1111111111111
"DHA Phase 6, DHA Defence",444.44444444444446
"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F",102.22222222222221
"Bahria Orchard, Lahore",68.14814814814815
"DHA Phase 1 - Block H, DHA Phase 1",481.48148148148147
"Emaar Crescent Bay, DHA Phase 8",488.88888888888897
"Emaar Crescent Bay, DHA Phase 8",281.48148148148147
"Johar Town, Lahore",168.88888888888889
"Johar Town, Lahore",93.33333333333333
"Divine Gardens, Lahore",370.3703703703704
"DHA Phase 7, DHA Defence",118.51851851851852
"Gulberg, Lahore",555.5555555555555
"DHA Defence Phase 2, DHA Defence",148.14814814814815
"DHA 9 Town, DHA Defence",103.70370370370371
"DHA Phase 6 - Block H, DHA Phase 6",622.2222222222222
"DHA Phase 6, DHA Defence",422.22222222222223
"Gulberg Greens, Gulberg",177.77777777777777
"Emaar Crescent Bay, DHA Phase 8",340.7407407407407
"DHA Phase 1 - Block E, DHA Phase 1",222.22222222222223
"Model Town, Lahore",314.81481481481484
"Gulberg, Lahore",340.7407407407407
"Johar Town, Lahore",133.33333333333334
"DHA Phase 6, DHA Defence",444.44444444444446
"Gulberg 3, Gulberg",244.44444444444446
"MM Alam Road, Gulberg",388.8888888888889
"DHA Phase 7 - Block U, DHA Phase 7",166.66666666666666
"Garden Town, Lahore",162.962962962963
"Emaar Crescent Bay, DHA Phase 8",333.3333333333333
"Emaar Crescent Bay, DHA Phase 8",444.44444444444446
"Gulberg, Lahore",422.22222222222223
"DHA Phase 8, DHA Defence",440.0
"Gulberg 1, Gulberg",488.8888888888889
"Gulberg, Lahore",407.4074074074074
"Gulberg, Lahore",488.8888888888889
"Garden Town, Lahore",583.3333333333334
"Gulberg, Lahore",333.3333333333333
"DHA Defence Phase 2, DHA Defence",200.0
"DHA Defence Phase 2, DHA Defence",118.51851851851852
"DHA 9 Town, DHA Defence",222.22222222222223
"Bahria Town - Nishtar Block, Bahria Town - Sector E",191.11111111111111
"Emaar Crescent Bay, DHA Phase 8",361.1111111111111
"Emaar Crescent Bay, DHA Phase 8",444.44444444444446
"Model Town, Lahore",211.11111111111111
"Penta Square By DHA Lahore, DHA Phase 5",296.2962962962963
"DHA Defence Phase 5, DHA Defence",83.33333333333333
"Pak Arab Housing Society, Lahore",115.55555555555556
"Emaar Crescent Bay, DHA Phase 8",325.925925925926
"DHA Phase 8, DHA Defence",340.7407407407407
"Gulberg, Lahore",444.44444444444446
"Gulberg, Lahore",666.6666666666666
"Gulberg 4, Gulberg",611.1111111111111
"Gulberg 2, Gulberg",518.5185185185185
"Hajvery Housing Scheme, Lahore",59.25925925925926
"DHA Phase 3, DHA Defence",204.44444444444443
"Bahria Town - Iqbal Block, Bahria Town - Sector E",191.11111111111111
"Emaar Crescent Bay, DHA Phase 8",488.88888888888897
"Emaar Crescent Bay, DHA Phase 8",788.8888888888889
"DHA Phase 6, DHA Defence",266.6666666666667
"Hajvery Housing Scheme, Lahore",59.25925925925926
"DHA Phase 5, DHA Defence",296.2962962962963
"DHA Phase 5, DHA Defence",293.3333333333333
"DHA Phase 3 - Block Z, DHA Phase 3",244.44444444444446
"DHA Phase 3, DHA Defence",194.44444444444446
"DHA Defence Phase 2, DHA Defence",118.51851851851852
"Emaar Crescent Bay, DHA Phase 8",600.0
"DHA Phase 5, DHA Defence",240.0
"DHA Phase 4, DHA Defence",133.33333333333334
"DHA Phase 3 - Block X, DHA Phase 3",266.6666666666667
"DHA 9 Town, DHA Defence",103.70370370370371
"DHA Phase 7, DHA Defence",244.44444444444446
"Johar Town, Lahore",111.11111111111111
"Johar Town, Lahore",96.29629629629629
"Johar Town, Lahore",144.44444444444446
"DHA Phase 6, DHA Defence",1904.7619047619048
"DHA Phase 7, DHA Defence",240.0
"DHA Phase 6, DHA Defence",222.22222222222223
"Gulberg Greens, Gulberg",88.88888888888889
"Gulberg Emporium Mall & Residency, Gulberg Greens",231.11111111111111
"Gulberg Greens, Gulberg",111.11111111111111
"DHA Phase 5, DHA Defence",518.5185185185185
"EME Society, Lahore",222.22222222222223
"DHA Phase 6 - Block D, DHA Phase 6",200.0
"DHA Phase 8, DHA Defence",400.0
"DHA 9 Town, DHA Defence",244.44444444444446
"DHA Phase 1, DHA Defence",118.51851851851852
"DHA Phase 7, DHA Defence",133.33333333333334
"DHA Phase 6, DHA Defence",146.66666666666666
"DHA Phase 7, DHA Defence",354.6666666666667
"DHA Phase 6, DHA Defence",200.0
"DHA Phase 6, DHA Defence",1055.5555555555557
"DHA Phase 5, DHA Defence",666.6666666666666
"Emaar Ocean Front, DHA Phase 8",429.6296296296296
"Emaar Crescent Bay, DHA Phase 8",488.8888888888889
"DHA Phase 7, DHA Defence",133.33333333333334
"DHA Phase 7, DHA Defence",125.92592592592592
"DHA 9 Town, DHA Defence",111.11111111111111
"DHA Defence Phase 1, DHA Defence",103.70370370370371
"DHA Defence Phase 1, DHA Defence",100.74074074074075
"DHA Phase 6, DHA Defence",280.0
"DHA Phase 7, DHA Defence",246.22222222222223
"DHA Phase 4, DHA Defence",265.77777777777777
"DHA Phase 5 - Block D, DHA Phase 5",238.88888888888889
"MM Alam Road, Gulberg",333.3333333333333
"DHA Phase 3, DHA Defence",140.74074074074073
"DHA Phase 4, DHA Defence",222.22222222222223
"DHA Phase 7 - Block T, DHA Phase 7",200.0
"EME Society, Lahore",177.77777777777777
"Bahria Town - Sector E, Bahria Town",133.33333333333334
"Gulberg, Lahore",355.55555555555554
"DHA Phase 3, DHA Defence",166.66666666666666
"DHA Phase 4, DHA Defence",146.66666666666666
"Sunny Park, Lahore",133.33333333333334
"DHA Phase 5 - Block F, DHA Phase 5",426.6666666666667
"DHA 9 Town, DHA Defence",118.51851851851852
"DHA Phase 4, DHA Defence",284.44444444444446
"DHA 9 Town - Block D, DHA 9 Town",281.48148148148147
"DHA Phase 6, DHA Defence",333.3333333333333
"DHA Phase 7, DHA Defence",185.1851851851852
"DHA Phase 6, DHA Defence",344.44444444444446
"Johar Town, Lahore",266.6666666666667
"DHA Phase 8, DHA Defence",370.3703703703704
"DHA Phase 6, DHA Defence",211.11111111111111
"DHA Phase 7, DHA Defence",296.2962962962963
"DHA Phase 7, DHA Defence",488.8888888888889
"DHA Phase 8, DHA Defence",314.81481481481484
"DHA Phase 8 - Zone A, DHA Phase 8",281.48148148148147
"DHA Phase 6, DHA Defence",444.44444444444446
"DHA 9 Town, DHA Defence",170.37037037037035
"Emaar Crescent Bay, DHA Phase 8",500.0
"DHA Phase 8, DHA Defence",444.44444444444446
"DHA Phase 7, DHA Defence",444.44444444444446
"Park View City, Lahore",81.48148148148148
"DHA Phase 6, DHA Defence",248.88888888888889
"DHA Phase 6, DHA Defence",266.6666666666667
"DHA Phase 5, DHA Defence",244.44444444444446
"DHA 9 Town, DHA Defence",125.92592592592592
"State Life Housing Society, Lahore",111.11111111111111
"Bukhari Commercial Area, DHA Phase 6",274.0740740740741
"DHA Phase 1 - Block C, DHA Phase 1",255.55555555555551
"DHA 9 Town, DHA Defence",125.92592592592592
"DHA Phase 1 - Block L, DHA Phase 1",333.3333333333333
"State Life Housing Society, Lahore",111.11111111111111
"State Life Housing Society, Lahore",111.11111111111111
"Gulberg Greens - Block B, Gulberg Greens",255.55555555555551
"Gulberg Greens, Gulberg",255.55555555555551
"Cantt, Lahore",518.5185185185185
"DHA Defence Phase 2, DHA Defence",128.88888888888889
"Fateh Garh, Lahore",81.4814814814815
"DHA Phase 2, DHA Defence",177.77777777777777
"DHA Phase 2, DHA Defence",118.51851851851852
"DHA Phase 7, DHA Defence",161.11111111111111
"DHA Phase 5, DHA Defence",155.55555555555554
"DHA 9 Town, DHA Defence",111.11111111111111
"Muslim Commercial Area, DHA Phase 6",122.22222222222223
"Gulberg, Islamabad",133.33333333333334
"DHA Phase 6, DHA Defence",155.55555555555554
