name,layer,lat,lon,weight
Govt Boys High School Tajpura Scheme,private_school,31.55786669629778,74.40527257017976,0.7
WAPDA High School,private_school,31.59225447307678,74.38798885895272,0.7
گورنمنٹ بوائز اسکول,private_school,31.60235156190484,74.361563918226,0.7
City District Government Boys High School,private_school,31.59458525131637,74.34770067776778,0.7
Sardar High School,private_school,31.556274068962512,74.35376203986274,0.7
Government Urdu Medium School - Garhi Shahu,private_school,31.556070053548922,74.35542258187988,0.7
Girls Urdu College,private_school,31.549945725880598,74.37189001601232,0.7
FG Boys High School Number 1,private_school,31.54954822065833,74.37380816731954,0.7
Govt. Islamia Girls College,private_school,31.542507536994922,74.37877847115743,0.7
Govt.Islamia High School,private_school,31.546551280249375,74.38042863026534,0.7
Garrison Academy for Girls,private_school,31.54059901866714,74.38171170281066,0.7
F.G. Model High School for Girls,private_school,31.542601452423302,74.37659146710769,0.7
Cantonment School for Boys,private_school,31.543559905244223,74.37664037057013,0.7
Islamia High School for Girls Lahore Cantt,private_school,31.546427329907555,74.37852362245806,0.7
Garrison Junior School,private_school,31.52312212214591,74.37765617242287,0.7
Garrison Boys High School,private_school,31.524314533170816,74.38051065622022,0.7
سینٹ جوزف اسکول,private_school,31.531954541597347,74.3833100727338,0.7
Azam Garrison School and College,private_school,31.534497925171845,74.38142835642584,0.7
Army Public High School,private_school,31.536607626697922,74.38113796129905,0.7
Government Degree College,private_school,31.573295329487816,74.3198505934785,0.7
Deaf Model High School For Girls,private_school,31.55708469904217,74.30235268034474,0.7
Lahore Grammar School Phase V,private_school,31.46567166041119,74.39382694853079,0.7
The City School Paragon Campus,private_school,31.533096812583548,74.45037660069474,0.7
Football Field,private_school,31.533796047622346,74.4517495811431,0.7
Unnamed private_school,private_school,31.470986660586252,74.38378326596977,0.7
Unnamed private_school,private_school,31.47582139835753,74.3751104031366,0.7
گورنمنٹ رنگ محل کرسچن ہائی سکول,private_school,31.58211660963792,74.31920198384226,0.7
Madrasa-tul-Binat Misri Shah,private_school,31.586496154641324,74.33249579317818,0.7
Unnamed private_school,private_school,31.585367623392735,74.33205969348502,0.7
Gov't High School Chamra Mamdi,private_school,31.58105262293393,74.3377065622443,0.7
Govt. Girls High School Wassanpura,private_school,31.595755597571948,74.3496993802818,0.7
Trust Model Public High School,private_school,31.598915970855288,74.31061444099139,0.7
Govt Ayesha Degree College for Women,private_school,31.601371661133346,74.30351005565409,0.7
Sacred Heart Convent School,private_school,31.567855636784184,74.3151215343617,0.7
Govt High School Mozang,private_school,31.558911143344293,74.31302534054518,0.7
