name,lat,lon,layer
Unnamed parking,31.451658802551144,74.43196403778613,parking
Unnamed parking,31.451769682760183,74.43198444924879,parking
Unnamed parking,31.44814798074993,74.4334919074828,parking
Unnamed parking,31.44811366546335,74.4333656473954,parking
Unnamed parking,31.448320094251972,74.43370440699405,parking
Unnamed parking,31.44815226550657,74.43368709787151,parking
Unnamed parking,31.448459971189372,74.43315297333717,parking
Unnamed parking,31.442031005857146,74.4298170147071,parking
Unnamed parking,31.570203539884993,74.3151461794099,parking
Unnamed parking,31.58370065615873,74.31364579551642,parking
Unnamed parking,31.58420540323836,74.3137965005879,parking
Unnamed parking,31.485478764618055,74.28278320349288,parking
Unnamed parking,31.484969969166276,74.28278917297001,parking
Unnamed parking,31.53633421725456,74.53700259655109,parking
Unnamed parking,31.46969462650417,74.41271437017421,parking
Unnamed parking,31.471157674745722,74.4122891217493,parking
Unnamed parking,31.58332390003788,74.44033734999063,parking
Unnamed parking,31.584356500013094,74.43969400000258,parking
Unnamed parking,31.5845535791033,74.43907690911134,parking
Unnamed parking,31.58132208726019,74.44384979301623,parking
Unnamed parking,31.575732500424245,74.33696620000339,parking
Unnamed parking,31.53019936846821,74.3613902067991,parking
Unnamed parking,31.533148284852814,74.36233929998896,parking
Unnamed parking,31.528183600689946,74.39672210000006,parking
Unnamed parking,31.595232883450336,74.31236921979789,parking
Unnamed parking,31.595347011265652,74.31356700028309,parking
Unnamed parking,31.59284768574543,74.31638774557396,parking
Unnamed parking,31.59125973575691,74.31618200507847,parking
Unnamed parking,31.580030679675133,74.35746687255975,parking
Unnamed parking,31.589686423860087,74.31251578876903,parking
Unnamed parking,31.588932873106994,74.31325160796891,parking
Unnamed parking,31.58786578318362,74.31363508907413,parking
Unnamed parking,31.587427474631813,74.3091622261151,parking
Unnamed parking,31.557791405938325,74.32656215221334,parking
Unnamed parking,31.576696650107134,74.33650074996507,parking
Unnamed parking,31.568810548919025,74.30580718201328,parking
Unnamed parking,31.540762846972857,74.34016702457966,parking
Unnamed parking,31.540365650040044,74.33477654999875,parking
Unnamed parking,31.547576029211363,74.33576439767512,parking
Unnamed parking,31.600508580235484,74.340982809829,parking
Unnamed parking,31.568900377073092,74.31672844502242,parking
