Latitude,Longitude,Population
31.617219,74.160746,970
31.616241,74.15045,100
31.625058,74.16494,736
31.62408,74.154644,485
31.6133,74.119565,134
31.622121,74.134051,920
31.62114,74.123754,83
31.607422,74.135963,51
31.606441,74.12567,1455
31.615261,74.140155,1254
31.614281,74.12986,853
31.645643,74.14663,853
31.654463,74.161126,4800
31.653485,74.150825,4582
31.63976,74.163034,2509
31.638781,74.152734,3847
31.6476,74.16723,4766
31.646622,74.15693,2726
31.635841,74.121838,318
31.644663,74.13633,201
31.643683,74.12603,430
31.629961,74.138243,1806
31.628981,74.127945,987
31.637802,74.142436,652
31.636822,74.132137,2425
31.530034,74.182455,2225
31.538841,74.19693,67
31.537866,74.186646,401
31.524153,74.198826,259
31.523178,74.188545,1639
31.531984,74.203019,367
31.531009,74.192737,485
31.56234,74.209515,619
31.571147,74.224,217
31.570173,74.213711,502
31.556454,74.225891,809
31.555481,74.215605,348
31.564286,74.230089,98
31.563313,74.219802,167
31.552556,74.184747,1623
31.561365,74.199227,502
31.56039,74.18894,1839
31.546674,74.201124,385
31.545699,74.190839,418
31.554507,74.205319,100
31.553532,74.195033,251
31.527074,74.229671,349
31.535876,74.244151,5514
31.534904,74.233868,253
31.521187,74.246036,3
31.520216,74.235755,444
31.529017,74.250235,3644
31.528046,74.239953,349
31.510441,74.211,539
31.519244,74.225475,380
31.518271,74.215194,602
31.549594,74.231979,602
31.558398,74.246464,983
31.557426,74.236178,1077
31.543706,74.24835,1489
31.542735,74.238066,32
31.551537,74.25255,2123
31.550566,74.242264,412
31.539816,74.207213,216
31.548622,74.221694,190
31.547648,74.211409,309
31.533932,74.223585,190
31.541763,74.227781,1109
31.54079,74.217497,571
31.531996,74.12495,1355
31.531015,74.114668,1388
31.517309,74.126862,167
31.516328,74.116583,17
31.525143,74.131047,267
31.524162,74.120766,586
31.555501,74.137509,301
31.564316,74.151984,836
31.563337,74.141697,167
31.549624,74.153891,1338
31.548645,74.143606,803
31.557459,74.158081,2074
31.55648,74.147795,234
31.545704,74.112753,719
31.554521,74.127223,151
31.553539,74.116937,67
31.539831,74.129135,33
31.53885,74.118852,201
31.547666,74.133321,1739
31.546685,74.123037,268
31.520247,74.157703,602
31.529057,74.172173,284
31.52808,74.161891,385
31.51437,74.174074,301
31.513393,74.163795,267
31.522202,74.178264,168
31.521225,74.167983,284
31.510457,74.132957,2107
31.519269,74.147422,6021
31.518289,74.137142,669
31.504583,74.149329,268
31.503604,74.139051,1087
31.512415,74.153515,1204
31.511436,74.143236,1137
31.542768,74.159986,4800
31.55158,74.174461,3663
31.550602,74.164176,1254
31.53689,74.176363,669
31.535913,74.16608,2342
31.544723,74.180555,853
31.543746,74.17027,1689
31.532977,74.135232,1137
31.54179,74.149702,686
31.540811,74.139419,83
31.527102,74.151609,937
31.526123,74.141328,1054
31.534935,74.155797,1906
31.533956,74.145515,1004
31.584868,74.211817,5151
31.593676,74.226308,7041
31.592703,74.216016,3830
31.57898,74.228199,318
31.578007,74.217909,217
31.586814,74.232399,485
31.585841,74.222108,1037
31.617182,74.238913,6599
31.62599,74.253415,6874
31.625019,74.243117,11038
31.611289,74.255301,19965
31.610318,74.245006,12885
31.619125,74.259506,12440
31.618154,74.24921,10570
31.6074,74.214122,2576
31.61621,74.228618,4147
31.615237,74.218322,3914
31.601511,74.230509,7208
31.600538,74.220215,4148
31.609347,74.234711,1403
31.608374,74.224416,1037
31.581894,74.25907,12835
31.590697,74.273566,63
31.589727,74.263274,6687
31.576001,74.275446,11567
31.575032,74.265157,1331
31.583833,74.279651,8017
31.582864,74.269361,2472
31.572119,74.234289,1020
31.580924,74.24878,2504
31.579952,74.238489,268
31.566229,74.250665,1172
31.565258,74.240377,1278
31.574062,74.254867,6307
31.573091,74.244578,946
31.604425,74.26139,7669
31.613229,74.275891,19902
31.61226,74.265596,20979
31.59853,74.277772,570
31.597561,74.267479,285
31.606363,74.281979,17620
31.605395,74.271684,15275
31.594648,74.2366,8128
31.603455,74.251096,16448
31.602483,74.240802,9741
31.588757,74.252982,14166
31.587786,74.242691,3647
31.596591,74.257186,9317
31.59562,74.246893,12266
31.586846,74.154267,886
31.585867,74.143976,903
31.572151,74.156174,1723
31.571173,74.145886,752
31.579988,74.160366,435
31.579009,74.150076,84
31.610359,74.166846,318
31.618197,74.171041,485
31.604475,74.183239,3612
31.603498,74.172946,803
31.612312,74.187436,67
31.611336,74.177141,301
31.609381,74.156552,535
31.608402,74.146258,117
31.594683,74.158459,368
31.593704,74.148167,201
31.602521,74.162652,953
31.601542,74.152359,636
31.575083,74.187041,2191
31.583893,74.201527,2692
31.582918,74.191236,469
31.569199,74.203423,1555
31.568224,74.193135,4566
31.577033,74.20762,1170
31.576059,74.19733,6807
31.565294,74.162271,536
31.574107,74.176752,1388
31.573129,74.166463,468
31.559414,74.178654,2843
31.558437,74.168367,3178
31.567248,74.182847,1187
31.566271,74.172559,686
31.597614,74.189336,301
31.606426,74.203827,67
31.605451,74.193533,100
31.591729,74.205724,4884
31.590754,74.195432,284
31.599564,74.209922,1556
31.59859,74.199629,1388
31.587824,74.164558,67
31.596638,74.179044,1271
31.595661,74.168751,67
31.581942,74.180946,401
31.580965,74.170656,334
31.589778,74.185141,235
31.588801,74.174849,1739
31.573064,74.010215,271
31.558373,74.012155,435
31.566213,74.016329,17
31.565223,74.006042,318
31.59659,74.022742,73
31.605421,74.037213,330
31.604433,74.02692,18
31.589737,74.028856,1105
31.598567,74.043326,167
31.597579,74.033034,924
31.5956,74.01245,1013
31.580906,74.01439,865
31.588748,74.018566,1031
31.587758,74.008275,681
31.561339,74.043013,937
31.570165,74.057478,2
31.569178,74.04719,34
31.555474,74.059406,384
31.554487,74.049121,17
31.563312,74.063586,34
31.562326,74.053299,117
31.551523,74.018266,1
31.560351,74.032726,49
31.559362,74.02244,1138
31.545661,74.03466,1538
31.5535,74.038836,17
31.552512,74.028551,134
31.592699,74.059729,451
31.591713,74.049438,101
31.578005,74.061658,652
31.577018,74.051369,3010
31.585845,74.065839,34
31.584859,74.055548,150
31.574054,74.020503,2
31.582884,74.034969,50
31.581895,74.024679,1
31.568191,74.036903,619
31.567202,74.026616,50
31.461442,74.009333,1672
31.470265,74.023773,987
31.469276,74.013501,936
31.455587,74.025706,118
31.454598,74.015436,353
31.46342,74.029875,167
31.462431,74.019604,736
31.493768,74.036284,50
31.50259,74.050734,586
