name,amenity,lat,lon
Royal City Hotel,cafe,31.5755359,74.33399779999999
Locanta Restautant,restaurant,31.574921099999997,74.3364734
Koyla Restaurant,restaurant,31.561507000000002,74.3295923
Kitchen Cuisine,restaurant,31.4987506,74.42106049999998
SAM Restaurant,restaurant,31.502426299999993,74.34902139999998
Bamboo Union,restaurant,31.5189894,74.3460743
Patakha Express,restaurant,31.5089108,74.3509137
Wonder Pizza,restaurant,31.4626255,74.2884251
Manzoor PC Hotel,restaurant,31.504776899999992,74.3027019
Karachi Silver Spoon,restaurant,31.444468099999998,74.27892059999999
Tandoor,food_court,31.454642,74.2280969
wapda town,cafe,31.4394132,74.2728764
Perru's Cafe,cafe,31.4836246,74.3052175
Shahjahan,restaurant,31.5584767,74.33877169999998
makko,cafe,31.374922700000003,74.2529701
kuku khoya chanay,restaurant,31.627797799999986,74.2953031
Waqas Biryani,restaurant,31.564301699999998,74.3207201
Lung Fung Chinese,restaurant,31.5595596,74.33213169999999
Event Complex,restaurant,31.462234599999995,74.3199518
Yaku tea stall,cafe,31.5531309,74.3152585
Butt Karahi,restaurant,31.512304699999998,74.3326843
Meat the cheese,restaurant,31.5073863,74.3486167
Nisa Sultan,restaurant,31.5143204,74.3508309
Pak Tea House Actual Location,cafe,31.567525100000005,74.3118745
Cosa Nostra,restaurant,31.5270992,74.3514048
Butt Karachi,restaurant,31.5671973,74.32358449999998
Halva Channa Puri Restaurant,restaurant,31.547659500000005,74.3158784
Uncle Tetsu,cafe,31.50748709999999,74.3536051
Chobara,cafe,31.4507078,74.39629489999999
Al Ghazi Restaurant,restaurant,31.5260614,74.3174102
Street 360 Food Court,restaurant,31.521849999999993,74.4510342
Arif Chatkhara House,restaurant,31.521999799999993,74.4509326
Baba Gee Kulfi,restaurant,31.549098899999997,74.3800825
JAIDI,restaurant,31.4821604,74.39649589999999
The Wok,restaurant,31.518720299999995,74.3459702
Babar Restaurant,restaurant,31.5611841,74.3129496
Butlers Chocolate Café,cafe,31.506521399999993,74.34990849999998
Covent Garden,restaurant,31.495845600000006,74.3776439
Grill Perfection,fast_food,31.499198399999987,74.3203023
PF Changs Pakistan,restaurant,31.516177799999998,74.3515334
P.F. Chang's,restaurant,31.516174299999996,74.3515669
Swadi restaurant,restaurant,31.520937699999998,74.29098919999998
Unnamed Dining_Spots,restaurant,31.567505700000005,74.3235718
Hot Roast (2nd floor),restaurant,31.551650099999993,74.2828726
Bhatti Naan Shop,restaurant,31.4969759,74.4066792
Bismila Naan Shop,fast_food,31.584277299999997,74.40838559999999
English Tea House,cafe,31.473501199999998,74.37915339999999
مکڈونلڈز,fast_food,31.498421999999994,74.27341019999999
Fast food shop photo copy,fast_food,31.557741099999998,74.339282
Molvi Sahab Golgappay Walay,restaurant,31.5725442,74.3333552
Chaye Qawali,cafe,31.457510199999998,74.2798354
Zee Grill,restaurant,31.40965110000001,74.2616273
گلوریا جینز,cafe,31.488266000000003,74.3260735
سب وے,fast_food,31.4882193,74.3257077
Delish Pizza Bar,restaurant,31.488819099999997,74.32616969999998
Fine Pizza,fast_food,31.465451399999996,74.31523389999998
Pizza Channel,fast_food,31.47972110000001,74.3058014
Dazzler,fast_food,31.4508398,74.28546779999999
The Pantry,restaurant,31.518761599999998,74.3459154
The Brasserie,restaurant,31.5187265,74.3458755
Sweet Tooth,restaurant,31.518676400000007,74.346079
Mocca,cafe,31.518635099999994,74.34619849999999
Ganache Cafe,restaurant,31.518527900000006,74.34639689999999
The Burning Giraffe,restaurant,31.518607700000004,74.3462616
Molecule Coffee,restaurant,31.5187975,74.3465942
Second Cup,cafe,31.5190371,74.34593099999998
Cafe Beirut,restaurant,31.5192744,74.346089
Rice Bowl,restaurant,31.518941400000003,74.3462094
گلوریا جینز,cafe,31.518645299999996,74.3457666
Penthouse,restaurant,31.518626299999998,74.345868
ہارڈیز,fast_food,31.4751729,74.37914139999998
Sumo,restaurant,31.475170199999994,74.37900569999998
Mandarin Kitchen,restaurant,31.4750492,74.3790703
Nando's,restaurant,31.4749877,74.3785881
Bar.B.Q Tonight,restaurant,31.474719799999992,74.379445
Cafe Aylanto,restaurant,31.474233199999997,74.37971549999999
Yum Chinese & Thai,restaurant,31.4734564,74.3789945
کینٹکی فرائیڈ چکن,fast_food,31.473284899999996,74.3786782
114 by Insomnia Kitchen,restaurant,31.4886944,74.32654869999999
Mandarin Kitchen,restaurant,31.519821900000004,74.350039
Jade Cafe,cafe,31.506775199999996,74.356607
Butlers,cafe,31.506570400000005,74.349576
MariBelle,restaurant,31.51861239999999,74.34595749999998
OPTP,fast_food,31.475300699999984,74.3779573
Johnny & Jugnu,fast_food,31.466253099999992,74.3792468
Urban Kitchen,restaurant,31.5209151,74.3520323
Rina's Kitchenette,restaurant,31.527214500000003,74.35054640000001
Nainu's Pizza,fast_food,31.49431639999999,74.3492454
کینٹکی فرائیڈ چکن,fast_food,31.471507699999997,74.3196268
گلوریا جینز,cafe,31.461210600000005,74.4132709
Mocca,restaurant,31.4609731,74.4133344
Napoli,restaurant,31.461234199999986,74.4131248
The Delicatessen,restaurant,31.460902499999996,74.4137976
Cosa Nostra,restaurant,31.460944799999996,74.41369839999999
کینٹکی فرائیڈ چکن,fast_food,31.471398399999998,74.31931889999998
Papa John's,fast_food,31.471735199999994,74.3198992
OPTP,fast_food,31.488771799999995,74.32651509999998
Qabail Restaurant Johar Town,restaurant,31.474235999999994,74.27120039999998
پیزا ہٹ,restaurant,31.5240877,74.4524118
UET New Campus Cafe,cafe,31.694536900000003,74.2490857
Kiraz Coffee House,cafe,31.4340323,74.267841
Dock 27,restaurant,31.518700299999992,74.350588
forks n knives,restaurant,31.4778795,74.28199419999999
shahbaz tikka house,restaurant,31.567535099999997,74.3249438
shahbaz tikka house,restaurant,31.567556399999997,74.32496510000001
shahbaz tikka house,restaurant,31.5674859,74.3249561
HFC Frozen Food Fectory,fast_food,31.441129600000004,74.3176363
Tanali Food,restaurant,31.599203799999994,74.3422556
